Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount Percent
LG,32 inch,HD Ready,LED,WebOS,4.4,4769,494,15990.0,23990.0,33.0
LG,55 inch,Ultra HD (4K),OLED,WebOS,4.4,230,20,79990.0,139990.0,42.0
Blaupunkt,40 inch,Full HD,LED,Android,4.4,15767,3375,15299.0,26999.0,43.0
TCL,85 inch,Ultra HD (4K),QLED,Google TV,4.2,741,71,169990.0,509990.0,66.0
Foxsky,50 inch,Ultra HD (4K),QLED,Google TV,4.0,823,142,24999.0,85990.0,70.0
iFFALCON,43 inch,Ultra HD (4K),QLED,Google TV,4.2,3489,407,21999.0,59990.0,63.0
CANDY,65 inch,Ultra HD (4K),QLED,Google TV,4.2,143,25,39999.0,69990.0,42.0
Hisense,65 inch,Ultra HD (4K),Mini LED,VIDAA,4.3,138,26,69999.0,119999.0,41.0
Coocaa,32 inch,HD Ready,LED,Google TV,4.2,1323,212,11499.0,27990.0,58.0
Thomson,43 inch,Ultra HD (4K),LED,Android,4.3,26869,5534,18999.0,33999.0,44.0
SONY,50 inch,Ultra HD (4K),LED,Google TV,4.6,7668,934,53990.0,79900.0,32.0
Hisense,55 inch,Ultra HD (4K),Mini LED,VIDAA,4.3,138,26,49999.0,89999.0,44.0
Thomson,55 inch,Ultra HD (4K),LED,Android,4.5,40044,9550,27999.0,54999.0,49.0
Mi,55 inch,Ultra HD (4K),LED,Google TV,4.3,29031,2850,45999.0,69999.0,34.0
TOSHIBA,65 inch,Ultra HD (4K),QLED,VIDAA,4.3,5469,904,56999.0,89999.0,36.0
SONY,43 inch,Ultra HD (4K),LED,Google TV,4.7,2555,369,45590.0,69900.0,34.0
KODAK,32 inch,HD Ready,LED,Android,4.4,39316,7634,9999.0,18499.0,45.0
TOSHIBA,43 inch,Ultra HD (4K),QLED,VIDAA,4.3,5469,904,28999.0,45999.0,36.0
Reliance,32 inch,HD Ready,LED,Android,3.8,75,3,10960.0,21490.0,48.0
Vu,65 inch,Ultra HD (4K),LED,Google TV,4.2,4229,709,45999.0,75000.0,38.0
Foxsky,50 inch,Ultra HD (4K),LED,Android,3.7,160,36,23999.0,82990.0,71.0
Sansui,32 inch,HD Ready,LED,Android,4.1,57,6,10829.0,19990.0,45.0
Sansui,86 inch,Ultra HD (4K),LED,Android,4.7,3,0,167999.0,219000.0,23.0
Sansui,70 inch,Ultra HD (4K),LED,Google TV,4.2,2482,228,59999.0,96900.0,38.0
SAMSUNG,32 inch,HD Ready,LED,Tizen,4.2,224,21,18999.0,23990.0,20.0
XElectron,24 inch,HD Ready,LED,Unknown,4.1,810,156,5699.0,13999.0,59.0
Coocaa,43 inch,Full HD,LED,Google TV,4.2,1323,212,18999.0,39990.0,52.0
Acer,32 inch,HD Ready,QLED,Google TV,4.0,4415,429,12999.0,23999.0,45.0
Panasonic,55 inch,Ultra HD (4K),LED,Google TV,4.3,8785,1207,44990.0,62990.0,28.0
iFFALCON,50 inch,Ultra HD (4K),QLED,Google TV,4.2,3489,407,27999.0,112990.0,75.0
Daiwa,43 inch,Ultra HD (4K),LED,Google TV,4.2,85,21,21299.0,46999.0,54.0
KODAK,43 inch,Full HD,LED,Android,4.4,39316,7634,16999.0,29999.0,43.0
acerpure,55 inch,Ultra HD (4K),LED,Google TV,4.2,2833,373,33999.0,69990.0,51.0
SONY,65 inch,Ultra HD (4K),LED,Google TV,5.0,3,0,85490.0,139900.0,38.0
Hisense,55 inch,Ultra HD (4K),QLED,VIDAA,4.3,137,29,44999.0,79999.0,43.0
KODAK,32 inch,HD Ready,LED,Unknown,4.1,16850,2519,8499.0,15999.0,46.0
acerpure,50 inch,Ultra HD (4K),LED,Google TV,4.1,29,3,28999.0,59990.0,51.0
Foxsky,43 inch,Ultra HD (4K),QLED,Google TV,4.0,823,142,19999.0,45499.0,56.0
SAMSUNG,65 inch,Ultra HD (4K),LED,Tizen,4.3,15222,1096,65990.0,94900.0,30.0
T,24 inch,HD Ready,LED,Unknown,4.3,56,6,7990.0,12990.0,38.0
Hisense,50 inch,Ultra HD (4K),QLED,Google TV,4.3,2135,407,37999.0,59999.0,36.0
Mi,50 inch,Ultra HD (4K),LED,Google TV,4.3,29031,2850,39990.0,59999.0,33.0
Hisense,55 inch,Ultra HD (4K),Mini LED,VIDAA,4.3,577,101,69999.0,109999.0,36.0
Hisense,50 inch,Ultra HD (4K),LED,Google TV,4.3,8796,1235,29999.0,59999.0,50.0
iFFALCON,50 inch,Ultra HD (4K),LED,Google TV,4.2,68411,7625,27499.0,62990.0,56.0
SONY,65 inch,Ultra HD (4K),LED,Google TV,4.6,25345,4410,73990.0,139900.0,47.0
TOSHIBA,55 inch,Ultra HD (4K),LED,Google TV,4.3,5341,878,34999.0,59990.0,41.0
