Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount
Acer,43 inch,Full HD,LED,Google TV,4.2,"27,029","2,917","₹20,999","₹32,999",36% off
Mi,32 inch,HD Ready,LED,Google TV,4.3,"1,71,724","13,288","₹14,390","₹24,999",42% off
Thomson,75 inch,Ultra HD (4K),QLED,Google TV,4.4,"23,903","4,283","₹69,999","₹1,49,999",53% off
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.3,"38,242","3,024","₹43,990","₹72,900",39% off
Hisense,65 inch,Ultra HD (4K),LED,Google TV,4.3,"8,796","1,235","₹49,999","₹79,999",37% off
KODAK,40 inch,Full HD,LED,Android,4.4,"39,316","7,634","₹15,499","₹26,999",42% off
Acer,50 inch,Ultra HD (4K),LED,Google TV,4.2,"27,029","2,917","₹27,549","₹49,999",44% off
Daiwa,43 inch,Ultra HD (4K),QLED,Google TV,4.1,905,209,"₹18,999","₹51,990",63% off
Infinix,55 inch,Ultra HD (4K),QLED,Google TV,4,276,28,"₹30,999","₹39,999",22% off
HUIDI,,HD Ready,LED,,,,,"₹10,999",,
SONY,55 inch,Ultra HD (4K),LED,Google TV,4.7,556,95,"₹69,999","₹1,29,900",46% off
Panasonic,43 inch,Ultra HD (4K),LED,Google TV,4.3,"8,785","1,207","₹30,990","₹42,990",27% off
Sansui,32 inch,HD Ready,LED,Coolita,4.2,58,6,"₹9,990","₹19,990",50% off
Haier,43 inch,Ultra HD (4K),LED,Google TV,4.3,520,56,"₹29,441","₹45,990",35% off
Thomson,40 inch,Full HD,LED,Linux,4.4,"42,232","5,726","₹14,999","₹17,999",16% off
ONIDA,43 inch,Ultra HD (4K),LED,Google TV,4.1,"1,085",174,"₹23,490","₹34,990",32% off
Daiwa,32 inch,HD Ready,LED,Google TV,4.2,85,21,"₹9,499","₹24,490",61% off
Mi,40 inch,Full HD,LED,Google TV,4.3,"1,71,724","13,288","₹19,999","₹29,999",33% off
Hisense,32 inch,HD Ready,LED,Google TV,4.2,"1,844",362,"₹11,999","₹24,999",52% off
acerpure,65 inch,Ultra HD (4K),LED,Google TV,4.2,"2,833",373,"₹45,999","₹99,990",53% off
Mi,65 inch,Ultra HD (4K),QLED,Google TV,4.1,485,36,"₹69,999","₹99,999",30% off
acerpure,50 inch,Ultra HD (4K),QLED,Google TV,4.3,860,161,"₹30,999","₹64,990",52% off
MOTOROLA,55 inch,Ultra HD (4K),LED,Google TV,4.3,"5,921",564,"₹29,990","₹56,790",47% off
TOSHIBA,65 inch,Ultra HD (4K),QLED,Google TV,4.3,"5,469",904,"₹59,999","₹99,999",40% off
KODAK,24 inch,HD Ready,LED,,4,"10,222","1,154","₹5,999","₹10,499",42% off
acerpure,32 inch,HD Ready,LED,Google TV,4.2,"2,833",373,"₹11,299","₹24,990",54% off
Blaupunkt,50 inch,Ultra HD (4K),LED,Google TV,4.5,"7,780","1,787","₹26,999","₹41,999",35% off
LG,32 inch,HD Ready,LED,WebOS,4.4,"4,769",494,"₹15,990","₹23,990",33% off
MOTOROLA,55 inch,Ultra HD (4K),LED,Google TV,4.3,"5,921",564,"₹29,990","₹56,790",47% off
LG,55 inch,Ultra HD (4K),OLED,WebOS,4.4,230,20,"₹79,990","₹1,39,990",42% off
Blaupunkt,40 inch,Full HD,LED,Android,4.4,"15,767","3,375","₹15,299","₹26,999",43% off
TCL,85 inch,Ultra HD (4K),QLED,Google TV,4.2,741,71,"₹1,69,990","₹5,09,990",66% off
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.3,"38,242","3,024","₹43,990","₹72,900",39% off
Foxsky,50 inch,Ultra HD (4K),QLED,Google TV,4,823,142,"₹24,999","₹85,990",70% off
iFFALCON,43 inch,Ultra HD (4K),QLED,Google TV,4.2,"3,489",407,"₹21,999","₹59,990",63% off
CANDY,65 inch,Ultra HD (4K),QLED,Google TV,4.2,143,25,"₹39,999","₹69,990",42% off
Hisense,65 inch,Ultra HD (4K),Mini LED,VIDAA,4.3,138,26,"₹69,999","₹1,19,999",41% off
Coocaa,32 inch,HD Ready,LED,Google TV,4.2,"1,323",212,"₹11,499","₹27,990",58% off
Daiwa,32 inch,HD Ready,LED,Google TV,4.2,85,21,"₹9,499","₹24,490",61% off
Thomson,43 inch,Ultra HD (4K),LED,Android,4.3,"26,869","5,534","₹18,999","₹33,999",44% off
SONY,50 inch,Ultra HD (4K),LED,Google TV,4.6,"7,668",934,"₹53,990","₹79,900",32% off
Hisense,55 inch,Ultra HD (4K),Mini LED,VIDAA,4.3,138,26,"₹49,999","₹89,999",44% off
